LoanID,CustomerID,ProductID,RegionID,OriginationDate,APR,TenorMonths,OriginationAmount,CurrentBalance,Status,InterestType,RepaymentFrequency,RiskBand,Channel,CollateralizedFlag,WriteOffFlag,ClosedDate,LastPaymentDate,Currency
9000058,102612,505,3113,2023-11-23,12.48,70,57167.36,1070.97,Closed,Fixed,Weekly,A,Branch,1,0,2024-08-16,2024-08-16,INR
9000059,107041,507,3010,2021-05-08,10.73,11,9441.09,188.82,Active,Fixed,Monthly,D,Partner,0,0,,2021-11-12,EUR
9000060,109555,501,3085,2021-06-11,26.57,0,4292.38,131.77,Closed,Fixed,Biweekly,C,Partner,0,0,2022-07-04,2022-07-04,USD
9000061,106235,517,3069,2020-09-13,10.31,109,69272.79,34189.04,Active,Fixed,Monthly,C,Online,1,0,,2024-01-19,USD
9000062,105486,520,3119,2023-04-09,21.46,42,7154.25,2842.83,Delinquent,Fixed,Monthly,B,Branch,0,0,,2025-02-21,EUR
9000063,107099,520,3038,2024-06-18,14.14,21,19033.26,186.34,Closed,Variable,Monthly,A,Branch,0,0,2025-09-06,2025-09-06,INR
9000064,109670,520,3130,2022-06-11,11.03,31,56720.61,2836.03,Delinquent,Variable,Monthly,D,Partner,0,0,,2024-03-13,USD
9000065,110748,519,3000,2020-10-20,8.42,238,76296.45,60812.69,Active,Variable,Monthly,C,Branch,1,0,,2025-09-06,INR
9000066,100775,507,3022,2024-12-09,11.4,8,2435.69,48.71,Active,Fixed,Monthly,C,Online,0,0,,2025-08-17,USD
9000067,108226,504,3114,2025-01-28,8.02,38,42082.68,35050.82,Active,Fixed,Monthly,E,Online,0,0,,2025-09-17,GBP
9000068,103152,516,3144,2021-03-09,9.38,48,47147.26,942.95,Active,Fixed,Monthly,D,Branch,1,0,,2021-12-08,GBP
9000069,110147,515,3047,2023-11-02,10.92,22,809.36,13.3,Closed,Fixed,Monthly,B,Mobile,0,0,2024-01-31,2024-01-31,EUR
9000070,101585,504,3090,2022-04-17,9.97,114,46151.82,29832.29,Active,Fixed,Monthly,A,Branch,0,0,,2023-03-23,INR
9000071,103943,516,3052,2022-06-09,6.41,72,7342.19,8.01,Closed,Fixed,Biweekly,B,Partner,1,0,2024-07-05,2024-07-05,INR
9000072,107555,503,3060,2024-09-28,7.87,285,262411.0,238246.11,Active,Variable,Monthly,D,Online,1,0,,2025-09-27,GBP
9000073,103073,500,3102,2025-01-03,19.22,49,35314.77,609.61,Closed,Variable,Monthly,A,Branch,0,0,2025-09-01,2025-09-01,EUR
9000074,101021,521,3101,2021-08-29,12.97,8,2172.19,43.44,Active,Fixed,Monthly,D,Partner,0,0,,2022-01-29,INR
9000075,111653,505,3138,2021-01-10,17.28,31,47569.28,4756.93,WrittenOff,Fixed,Monthly,E,Partner,1,1,,2022-10-10,USD
9000076,110805,500,3142,2024-09-12,23.66,42,39364.54,27091.04,Active,Variable,Monthly,A,Partner,0,0,,2025-09-02,USD
9000077,103843,523,3089,2023-04-07,16.52,20,29342.52,1467.13,Delinquent,Fixed,Monthly,C,Online,0,0,,2023-05-31,INR
9000078,107989,503,3117,2024-01-23,6.12,216,411336.55,469242.85,WrittenOff,Fixed,Monthly,A,Partner,1,1,,2024-08-23,GBP
9000079,109692,501,3138,2024-06-16,37.71,0,6600.26,2817.86,Active,Fixed,Monthly,E,Mobile,0,0,,2025-09-20,INR
9000080,106873,512,3134,2021-10-12,36.07,0,17092.74,10754.03,Active,Fixed,Monthly,D,Branch,0,0,,2021-12-05,EUR
9000081,105675,513,3046,2025-04-16,11.28,19,15155.22,11162.53,Active,Fixed,Monthly,B,Branch,1,0,,2025-09-01,INR
9000082,100161,516,3135,2020-05-17,6.64,43,64192.24,1283.84,Active,Variable,Biweekly,A,Branch,1,0,,2021-02-03,INR
9000083,104297,510,3004,2024-11-27,17.17,0,57608.65,1126.27,Closed,Variable,Biweekly,A,Partner,1,0,2025-08-07,2025-08-07,INR
9000084,110173,502,3086,2022-11-10,9.03,44,59766.14,15773.59,Active,Variable,Monthly,B,Online,1,0,,2024-02-25,INR
9000085,100995,506,3090,2020-05-06,16.43,0,12296.69,190.14,Closed,Fixed,Monthly,E,Branch,0,0,2025-01-04,2025-01-04,USD
9000086,111534,509,3062,2020-11-18,11.7,153,178197.53,116088.23,Active,Variable,Monthly,D,Branch,1,0,,2025-09-19,INR
9000087,107629,510,3020,2022-03-08,17.47,0,39006.97,23476.99,Active,Variable,Monthly,B,Branch,1,0,,2024-04-30,INR
9000088,111990,509,3118,2025-02-08,13.6,175,208168.56,204446.62,Active,Fixed,Biweekly,A,Partner,1,0,,2025-09-30,USD
9000089,109467,507,3120,2024-01-17,13.68,22,12251.08,1006.45,Active,Fixed,Monthly,A,Partner,0,0,,2024-10-31,EUR
9000090,101016,504,3101,2021-04-04,6.39,106,59145.92,30710.75,Active,Fixed,Biweekly,B,Partner,0,0,,2025-09-10,USD
9000091,107869,522,3089,2024-11-01,17.84,12,2328.46,502.65,Active,Fixed,Monthly,D,Partner,0,0,,2025-06-10,EUR
9000092,106439,501,3139,2020-03-31,36.86,0,5592.02,2591.35,Active,Variable,Monthly,B,Branch,0,0,,2022-08-09,INR
9000093,107892,514,3111,2024-10-18,16.61,0,46644.16,38236.57,Active,Fixed,Monthly,B,Partner,0,0,,2025-09-06,USD
9000094,106863,515,3138,2024-11-27,20.04,7,248.41,4.97,Active,Fixed,Biweekly,B,Online,0,0,,2025-07-11,USD
9000095,107916,503,3137,2024-11-16,9.33,96,197327.15,179960.21,Active,Variable,Monthly,A,Partner,1,0,,2025-09-10,INR
9000096,108529,521,3118,2023-11-01,14.51,15,6578.43,131.57,Active,Variable,Monthly,D,Online,0,0,,2023-12-24,INR
9000097,100878,515,3015,2024-07-23,8.96,21,1188.46,362.02,Active,Variable,Monthly,D,Online,0,0,,2025-05-23,USD
9000098,109268,511,3142,2024-06-23,21.3,13,701.08,14.02,Active,Fixed,Monthly,B,Branch,0,0,,2025-02-11,GBP
9000099,104887,513,3118,2022-11-16,8.15,46,3886.33,982.45,Active,Variable,Biweekly,A,Mobile,1,0,,2023-03-17,INR
9000100,104859,511,3083,2024-08-17,19.72,22,392.64,156.84,WrittenOff,Fixed,Monthly,D,Branch,0,1,,2024-12-20,INR
9000101,106331,520,3131,2021-10-13,11.06,15,43814.12,271.18,Closed,Fixed,Biweekly,E,Online,0,0,2022-02-02,2022-02-02,USD
9000102,108571,515,3021,2024-12-21,9.34,11,337.25,48.95,Active,Variable,Monthly,A,Branch,0,0,,2025-08-06,GBP
9000103,108684,515,3141,2025-02-23,9.38,10,315.39,3.76,Closed,Fixed,Monthly,A,Branch,0,0,2025-09-15,2025-09-15,EUR
9000104,107208,521,3093,2025-06-15,18.69,25,1656.35,1427.68,Active,Fixed,Monthly,C,Partner,0,0,,2025-09-10,EUR
9000105,105276,511,3030,2025-02-01,25.02,16,1847.6,1186.37,Delinquent,Variable,Monthly,B,Branch,0,0,,2025-05-21,EUR
9000106,102062,501,3069,2024-01-13,40.4,0,6784.98,4054.66,Delinquent,Fixed,Monthly,A,Branch,0,0,,2024-05-28,EUR
9000107,100064,522,3090,2023-07-14,13.02,11,4392.25,439.22,WrittenOff,Fixed,Monthly,C,Branch,0,1,,2023-10-08,INR
9000108,108006,523,3127,2020-06-09,22.58,23,17987.52,359.75,Active,Variable,Monthly,A,Online,0,0,,2021-05-23,USD
9000109,102568,513,3010,2023-07-27,6.2,55,27819.08,14862.07,Active,Variable,Monthly,B,Online,1,0,,2025-09-09,EUR
9000110,105463,510,3035,2023-10-31,18.52,0,50145.53,44580.91,Active,Variable,Weekly,A,Branch,1,0,,2025-09-23,INR
9000111,102027,508,3079,2023-03-31,15.36,32,2923.02,252.14,Active,Variable,Monthly,B,Online,0,0,,2024-04-25,USD
9000112,102695,521,3023,2024-10-03,13.4,12,10933.0,613.63,Active,Fixed,Monthly,E,Mobile,0,0,,2025-08-11,INR
9000113,109687,506,3112,2023-02-21,20.37,0,6948.51,4631.94,Active,Fixed,Biweekly,B,Branch,0,0,,2024-05-25,EUR
9000114,105258,511,3041,2023-02-07,27.63,11,1029.08,20.58,Active,Fixed,Monthly,B,Online,0,0,,2023-05-04,USD
9000115,105618,516,3020,2024-07-08,7.67,46,58802.08,41903.32,Active,Fixed,Monthly,B,Online,1,0,,2025-09-27,USD
9000116,106736,508,3095,2024-09-17,11.36,24,1697.87,847.37,Active,Fixed,Monthly,C,Branch,0,0,,2025-09-14,USD
9000117,100391,505,3050,2020-03-03,8.31,61,31012.69,620.25,Active,Fixed,Monthly,A,Online,1,0,,2020-08-05,INR
9000118,105892,511,3080,2025-01-14,26.36,11,858.62,0.6,Closed,Variable,Monthly,D,Branch,0,0,2025-09-13,2025-09-13,USD
9000119,103561,519,3054,2025-09-11,5.21,226,174540.5,174540.5,Active,Fixed,Weekly,B,Partner,1,0,,2025-09-26,INR
9000120,110470,509,3123,2025-07-22,12.51,234,143121.39,143121.39,Active,Fixed,Monthly,D,Branch,1,0,,2025-09-20,INR
9000121,106184,508,3131,2023-09-27,16.02,17,4608.47,20.44,Closed,Variable,Monthly,A,Online,0,0,2025-09-24,2025-09-24,USD
9000122,103099,511,3061,2024-01-04,22.17,23,1078.07,164.66,Active,Fixed,Monthly,B,Branch,0,0,,2025-04-27,USD
9000123,106278,500,3086,2023-06-19,18.94,48,11938.09,4681.86,Active,Fixed,Monthly,E,Partner,0,0,,2025-09-08,USD
9000124,108392,501,3141,2023-08-04,30.92,0,4458.47,2959.18,Active,Variable,Monthly,A,Online,0,0,,2024-09-04,EUR
9000125,103104,518,3040,2020-06-20,11.94,80,30246.6,5789.91,Active,Variable,Biweekly,C,Partner,1,0,,2022-05-04,GBP
9000126,107215,500,3040,2022-04-07,15.14,26,28978.62,579.57,Active,Variable,Biweekly,B,Mobile,0,0,,2023-01-11,USD
9000127,102454,515,3044,2022-02-25,19.7,21,606.75,12.14,Active,Variable,Monthly,C,Branch,0,0,,2023-11-29,USD
9000128,111837,515,3125,2021-07-21,14.88,7,758.07,15.16,Active,Fixed,Monthly,A,Partner,0,0,,2022-02-15,INR
9000129,108996,517,3095,2025-01-10,7.05,113,56822.5,52451.82,Active,Fixed,Monthly,D,Partner,1,0,,2025-09-20,INR
9000130,102731,517,3143,2020-01-03,11.61,76,19801.01,1625.92,Delinquent,Variable,Monthly,C,Branch,1,0,,2024-10-06,INR
9000131,110965,522,3018,2020-11-29,10.67,17,6255.68,125.11,Active,Fixed,Monthly,D,Branch,0,0,,2021-09-04,USD
9000132,108154,512,3036,2024-01-24,28.56,0,11542.56,6456.25,Delinquent,Fixed,Monthly,D,Partner,0,0,,2025-07-24,INR
9000133,109762,521,3084,2020-09-28,22.46,25,4196.91,83.94,Active,Variable,Weekly,A,Online,0,0,,2021-08-03,INR
9000134,105056,511,3025,2020-12-21,22.81,9,1639.8,32.8,Active,Fixed,Monthly,D,Online,0,0,,2021-08-28,INR
9000135,108110,508,3093,2020-05-01,10.39,21,6702.94,134.06,Active,Fixed,Monthly,B,Partner,0,0,,2021-02-11,INR
9000136,110882,504,3103,2022-07-01,11.84,92,39148.11,20227.1,WrittenOff,Variable,Biweekly,B,Mobile,0,1,,2024-02-01,USD
9000137,103840,508,3124,2021-02-22,11.6,27,1914.78,38.3,Active,Fixed,Monthly,A,Branch,0,0,,2022-02-04,EUR
9000138,101028,512,3140,2020-09-24,36.52,0,9692.38,531.95,Closed,Variable,Monthly,B,Branch,0,0,2025-08-23,2025-08-23,INR
9000139,107385,515,3090,2021-10-23,20.82,11,983.46,49.17,Delinquent,Fixed,Monthly,B,Partner,0,0,,2022-07-18,INR
9000140,100502,509,3086,2022-09-01,8.62,120,50329.95,36464.37,Active,Fixed,Monthly,D,Partner,1,0,,2025-09-08,USD
9000141,106910,515,3122,2022-10-07,13.7,14,824.73,41.24,Delinquent,Fixed,Weekly,B,Partner,0,0,,2023-05-25,EUR
9000142,109062,513,3097,2022-03-31,11.9,35,16935.79,338.72,Active,Fixed,Monthly,B,Branch,1,0,,2023-03-16,INR
9000143,106938,501,3022,2021-04-02,20.13,0,4396.77,2759.42,Active,Variable,Monthly,E,Online,0,0,,2021-06-17,INR
9000144,104488,518,3107,2022-07-10,9.21,36,38940.19,778.8,Active,Fixed,Biweekly,B,Online,1,0,,2022-10-23,INR
9000145,100206,510,3147,2022-08-23,15.03,0,32456.06,25637.23,Active,Variable,Monthly,B,Branch,1,0,,2023-09-16,USD
9000146,105134,518,3053,2021-01-28,9.74,76,8250.8,2169.18,Active,Fixed,Monthly,B,Partner,1,0,,2024-08-27,USD
9000147,105977,510,3058,2025-07-18,10.54,0,7364.78,22.77,Closed,Variable,Monthly,B,Branch,1,0,2025-08-13,2025-08-13,INR
9000148,107721,513,3147,2024-05-19,9.83,28,11808.2,197.61,Closed,Fixed,Monthly,D,Online,1,0,2025-09-01,2025-09-01,INR
9000149,107035,514,3038,2023-08-27,13.34,0,32419.72,30307.36,Active,Fixed,Monthly,C,Branch,0,0,,2025-03-09,INR
9000150,101484,506,3077,2021-07-01,14.43,0,14254.51,6402.82,Active,Fixed,Monthly,A,Branch,0,0,,2022-05-20,EUR
9000151,107858,514,3090,2023-12-21,11.06,0,12588.09,6054.3,Active,Variable,Monthly,A,Online,0,0,,2025-08-13,INR
9000152,100863,523,3068,2021-01-25,23.82,18,20495.71,409.91,Active,Variable,Monthly,D,Branch,0,0,,2021-10-14,USD
9000153,102790,522,3067,2024-07-30,19.28,19,962.12,249.6,Active,Variable,Monthly,A,Branch,0,0,,2025-05-11,INR
9000154,107408,507,3086,2022-07-02,11.51,9,18054.12,121.41,Closed,Fixed,Monthly,D,Branch,0,0,2025-05-29,2025-05-29,INR
9000155,108755,503,3020,2021-02-11,6.78,158,451177.29,299605.45,Active,Fixed,Monthly,A,Online,1,0,,2025-09-26,USD
9000156,105116,517,3143,2020-06-14,9.03,30,58527.13,737.65,Closed,Variable,Monthly,E,Branch,1,0,2020-11-13,2020-11-13,EUR
9000157,106019,513,3031,2021-10-19,12.62,53,19320.24,1654.11,Active,Variable,Monthly,C,Branch,1,0,,2025-09-10,INR
9000158,101757,520,3002,2025-04-18,22.83,60,36385.91,144.92,Closed,Variable,Weekly,E,Mobile,0,0,2025-09-19,2025-09-19,INR
9000159,107574,517,3081,2023-09-03,12.54,109,92605.56,86724.98,Delinquent,Fixed,Monthly,C,Branch,1,0,,2024-01-21,EUR
9000160,106374,503,3120,2022-04-24,6.86,304,154076.17,140040.3,Active,Variable,Monthly,D,Branch,1,0,,2023-09-24,USD
9000161,106892,501,3115,2020-12-03,31.67,0,6188.65,387.05,Closed,Fixed,Monthly,B,Branch,0,0,2024-12-26,2024-12-26,INR
9000162,101678,520,3134,2021-07-29,22.24,56,32422.68,4395.84,Active,Variable,Biweekly,A,Mobile,0,0,,2025-06-15,INR
9000163,103242,505,3087,2021-09-12,10.25,44,194293.3,2984.84,Closed,Fixed,Monthly,A,Online,1,0,2023-12-25,2023-12-25,INR
9000164,104636,510,3143,2021-09-04,11.34,0,58805.37,53531.39,Active,Variable,Monthly,B,Branch,1,0,,2023-08-10,USD
9000165,101059,500,3052,2021-07-04,17.83,42,21413.75,428.28,Active,Fixed,Weekly,B,Partner,0,0,,2022-01-15,INR
9000166,106668,514,3003,2024-08-31,15.48,0,44395.07,36961.49,Active,Fixed,Monthly,B,Partner,0,0,,2025-05-26,USD
9000167,109914,511,3031,2025-04-23,19.09,23,363.32,281.22,Active,Fixed,Weekly,E,Mobile,0,0,,2025-09-30,INR
9000168,111506,523,3082,2020-01-14,15.97,23,31899.47,637.99,Active,Fixed,Monthly,A,Partner,0,0,,2020-12-11,INR
9000169,103157,517,3101,2021-02-23,8.85,88,33557.2,13326.65,Active,Fixed,Monthly,A,Branch,1,0,,2023-06-20,EUR
9000170,105915,504,3057,2022-08-07,6.5,72,39007.45,442.6,Closed,Fixed,Biweekly,A,Online,0,0,2024-10-21,2024-10-21,INR
9000171,110817,510,3012,2024-03-08,12.45,0,146759.91,129317.1,Active,Fixed,Monthly,C,Branch,1,0,,2025-07-05,EUR
9000172,110921,523,3149,2024-06-18,10.92,11,12460.86,241.03,Closed,Fixed,Monthly,C,Partner,0,0,2025-08-17,2025-08-17,USD
9000173,109789,520,3043,2024-02-10,16.11,16,24063.95,481.28,Active,Fixed,Monthly,A,Online,0,0,,2025-05-29,EUR
9000174,111252,518,3029,2023-08-30,7.63,43,46895.54,748.41,Closed,Variable,Monthly,A,Partner,1,0,2025-08-02,2025-08-02,INR
9000175,102693,521,3011,2020-03-07,16.07,32,9322.1,186.44,Active,Fixed,Monthly,A,Branch,0,0,,2020-11-12,INR
9000176,103627,500,3013,2021-05-09,17.41,14,33380.26,667.61,Active,Fixed,Monthly,B,Branch,0,0,,2022-06-24,INR
9000177,109555,516,3035,2022-06-07,10.03,29,30224.15,604.48,Active,Variable,Monthly,D,Branch,1,0,,2022-10-10,INR
9000178,110173,507,3044,2022-03-06,11.92,13,11833.05,6.55,Closed,Fixed,Monthly,D,Mobile,0,0,2025-09-17,2025-09-17,GBP
9000179,105450,522,3023,2025-06-08,12.42,22,1816.87,17.32,Closed,Fixed,Monthly,D,Branch,0,0,2025-09-29,2025-09-29,EUR
9000180,101663,515,3118,2020-05-31,9.26,6,1484.17,29.68,Active,Fixed,Monthly,B,Partner,0,0,,2020-07-31,INR
9000181,109721,510,3130,2024-06-09,13.03,0,56507.82,25612.39,Active,Variable,Monthly,D,Branch,1,0,,2024-12-15,EUR
9000182,110230,518,3077,2022-02-16,11.87,82,33786.59,15589.19,Active,Fixed,Biweekly,C,Branch,1,0,,2022-07-16,GBP
9000183,105592,523,3037,2023-12-04,12.88,22,35907.31,188.36,Closed,Fixed,Monthly,A,Branch,0,0,2025-09-10,2025-09-10,USD
9000184,111494,510,3091,2020-09-05,21.08,0,44537.33,3807.64,Closed,Fixed,Monthly,E,Partner,1,0,2025-06-26,2025-06-26,INR
9000185,110429,514,3086,2022-07-07,20.81,0,4914.28,478.78,Closed,Fixed,Monthly,C,Online,0,0,2024-06-22,2024-06-22,EUR
9000186,107392,507,3019,2024-06-29,9.87,11,5636.56,112.73,Active,Variable,Monthly,B,Online,0,0,,2024-11-03,USD
9000187,101306,513,3096,2024-08-09,13.07,36,20585.09,13199.37,Active,Variable,Monthly,C,Partner,1,0,,2025-03-19,INR
9000188,106776,500,3001,2025-03-26,12.03,39,7226.2,6233.23,Active,Fixed,Monthly,A,Branch,0,0,,2025-09-03,EUR
9000189,110867,509,3001,2024-01-03,10.73,78,113683.25,81269.59,Active,Fixed,Monthly,A,Online,1,0,,2025-09-28,EUR
9000190,105864,506,3041,2025-09-29,21.38,0,3161.27,2010.44,Active,Fixed,Monthly,B,Online,0,0,,2025-09-05,INR
9000191,109474,517,3039,2023-12-11,11.94,90,9135.15,134.28,Closed,Fixed,Monthly,C,Online,1,0,2025-09-20,2025-09-20,USD
9000192,107526,511,3136,2021-08-25,24.67,12,1233.79,24.68,Active,Variable,Monthly,A,Online,0,0,,2022-01-28,USD
9000193,108901,501,3129,2025-06-05,22.89,0,5351.28,5020.97,Active,Variable,Biweekly,A,Branch,0,0,,2025-09-10,EUR
9000194,105575,517,3002,2020-10-05,8.98,90,36168.32,12562.58,Active,Variable,Biweekly,E,Mobile,1,0,,2021-11-17,INR
