BureauID,CustomerID,Score,Rating,ReportMonth
700043,102523,627,D,2023-01-01T00:00:00.000000000
700044,111441,505,E,2024-08-01T00:00:00.000000000
700045,101660,492,E,2022-10-01T00:00:00.000000000
700046,109506,523,E,2025-01-01T00:00:00.000000000
700047,108625,337,E,2024-08-01T00:00:00.000000000
700048,107630,747,C,2023-08-01T00:00:00.000000000
700049,104512,792,B,2025-03-01T00:00:00.000000000
700050,101858,410,E,2023-04-01T00:00:00.000000000
700051,108902,551,D,2025-03-01T00:00:00.000000000
700052,108329,771,B,2022-05-01T00:00:00.000000000
700053,111752,791,B,2023-05-01T00:00:00.000000000
700054,101753,895,A,2024-12-01T00:00:00.000000000
700055,111048,790,B,2024-02-01T00:00:00.000000000
700056,107335,663,C,2022-04-01T00:00:00.000000000
700057,106277,459,E,2025-02-01T00:00:00.000000000
700058,101184,811,B,2024-02-01T00:00:00.000000000
700059,106927,397,E,2023-08-01T00:00:00.000000000
700060,100733,897,A,2023-01-01T00:00:00.000000000
700061,101851,873,A,2022-07-01T00:00:00.000000000
700062,106520,558,D,2023-12-01T00:00:00.000000000
700063,109545,380,E,2022-03-01T00:00:00.000000000
700064,108586,761,B,2022-03-01T00:00:00.000000000
700065,105291,658,C,2023-04-01T00:00:00.000000000
700066,102517,767,B,2024-07-01T00:00:00.000000000
700067,107589,665,C,2024-09-01T00:00:00.000000000
700068,103327,394,E,2023-02-01T00:00:00.000000000
700069,106124,788,B,2024-01-01T00:00:00.000000000
700070,102066,586,D,2022-02-01T00:00:00.000000000
700071,100246,869,A,2025-05-01T00:00:00.000000000
700072,105324,342,E,2023-01-01T00:00:00.000000000
700073,107587,457,E,2023-06-01T00:00:00.000000000
700074,103138,534,E,2023-08-01T00:00:00.000000000
700075,100341,774,B,2022-02-01T00:00:00.000000000
700076,111163,711,C,2022-07-01T00:00:00.000000000
700077,111960,693,C,2023-01-01T00:00:00.000000000
700078,102434,443,E,2022-08-01T00:00:00.000000000
700079,100341,309,E,2022-03-01T00:00:00.000000000
700080,100107,810,B,2023-02-01T00:00:00.000000000
700081,106820,629,D,2023-11-01T00:00:00.000000000
700082,104728,567,D,2022-08-01T00:00:00.000000000
700083,105093,780,B,2024-09-01T00:00:00.000000000
700084,105521,455,E,2024-03-01T00:00:00.000000000
700085,109988,829,B,2022-11-01T00:00:00.000000000
700086,105226,583,D,2024-09-01T00:00:00.000000000
700087,107802,790,B,2022-11-01T00:00:00.000000000
700088,110716,569,D,2025-02-01T00:00:00.000000000
700089,102384,563,D,2025-07-01T00:00:00.000000000
700090,111723,777,B,2023-06-01T00:00:00.000000000
700091,110552,655,C,2024-04-01T00:00:00.000000000
700092,105920,558,D,2025-05-01T00:00:00.000000000
700093,108800,501,E,2024-02-01T00:00:00.000000000
700094,105923,436,E,2024-06-01T00:00:00.000000000
700095,105468,346,E,2025-09-01T00:00:00.000000000
700096,110833,362,E,2022-10-01T00:00:00.000000000
700097,107696,376,E,2025-06-01T00:00:00.000000000
700098,110539,754,B,2022-03-01T00:00:00.000000000
700099,102739,312,E,2024-08-01T00:00:00.000000000
700100,104823,689,C,2024-12-01T00:00:00.000000000
700101,105060,757,B,2022-10-01T00:00:00.000000000
700102,107040,827,B,2023-09-01T00:00:00.000000000
700103,108402,767,B,2022-07-01T00:00:00.000000000
700104,108477,640,D,2024-01-01T00:00:00.000000000
700105,110662,354,E,2024-10-01T00:00:00.000000000
700106,105838,712,C,2024-01-01T00:00:00.000000000
700107,108685,633,D,2022-09-01T00:00:00.000000000
700108,101017,610,D,2022-08-01T00:00:00.000000000
700109,103490,487,E,2024-11-01T00:00:00.000000000
700110,102884,820,B,2025-08-01T00:00:00.000000000
700111,102814,305,E,2024-04-01T00:00:00.000000000
700112,110181,712,C,2022-10-01T00:00:00.000000000
700113,108714,579,D,2023-02-01T00:00:00.000000000
700114,104914,350,E,2024-05-01T00:00:00.000000000
700115,110558,527,E,2022-01-01T00:00:00.000000000
700116,111642,576,D,2023-07-01T00:00:00.000000000
700117,109848,894,A,2023-02-01T00:00:00.000000000
700118,107915,617,D,2023-08-01T00:00:00.000000000
700119,103064,646,D,2025-02-01T00:00:00.000000000
700120,110934,416,E,2024-12-01T00:00:00.000000000
700121,100589,374,E,2025-05-01T00:00:00.000000000
700122,108826,773,B,2022-08-01T00:00:00.000000000
700123,108399,672,C,2025-02-01T00:00:00.000000000
700124,102233,609,D,2025-06-01T00:00:00.000000000
700125,109168,470,E,2023-12-01T00:00:00.000000000
700126,110256,539,E,2022-07-01T00:00:00.000000000
700127,101313,451,E,2025-07-01T00:00:00.000000000
700128,108169,375,E,2022-05-01T00:00:00.000000000
700129,100970,550,E,2023-02-01T00:00:00.000000000
700130,104706,559,D,2022-09-01T00:00:00.000000000
700131,106589,616,D,2023-08-01T00:00:00.000000000
700132,109671,425,E,2024-02-01T00:00:00.000000000
700133,109362,847,B,2024-01-01T00:00:00.000000000
700134,103185,852,A,2023-08-01T00:00:00.000000000
700135,107264,658,C,2022-06-01T00:00:00.000000000
700136,109591,465,E,2022-07-01T00:00:00.000000000
700137,107126,637,D,2024-12-01T00:00:00.000000000
700138,111585,652,C,2024-12-01T00:00:00.000000000
700139,102375,713,C,2023-08-01T00:00:00.000000000
700140,104444,324,E,2023-06-01T00:00:00.000000000
700141,106450,829,B,2022-08-01T00:00:00.000000000
700142,100198,801,B,2024-03-01T00:00:00.000000000
700143,103248,652,C,2022-05-01T00:00:00.000000000
700144,101147,895,A,2024-07-01T00:00:00.000000000
700145,105276,789,B,2025-05-01T00:00:00.000000000
700146,106750,748,C,2023-09-01T00:00:00.000000000
700147,104706,781,B,2022-03-01T00:00:00.000000000
700148,104035,628,D,2024-02-01T00:00:00.000000000
700149,110474,876,A,2023-05-01T00:00:00.000000000
700150,109917,666,C,2024-06-01T00:00:00.000000000
700151,109509,838,B,2023-11-01T00:00:00.000000000
700152,103968,387,E,2024-01-01T00:00:00.000000000
700153,111281,708,C,2022-04-01T00:00:00.000000000
700154,105054,535,E,2025-05-01T00:00:00.000000000
700155,101426,349,E,2022-11-01T00:00:00.000000000
700156,110620,482,E,2025-05-01T00:00:00.000000000
700157,101841,693,C,2025-02-01T00:00:00.000000000
700158,107287,485,E,2023-06-01T00:00:00.000000000
700159,104863,388,E,2024-09-01T00:00:00.000000000
700160,106174,385,E,2024-12-01T00:00:00.000000000
700161,102144,419,E,2025-02-01T00:00:00.000000000
700162,109685,387,E,2023-06-01T00:00:00.000000000
700163,100704,355,E,2023-04-01T00:00:00.000000000
700164,109960,454,E,2023-10-01T00:00:00.000000000
700165,101069,389,E,2023-09-01T00:00:00.000000000
700166,110475,593,D,2025-08-01T00:00:00.000000000
700167,107728,660,C,2024-07-01T00:00:00.000000000
700168,106480,834,B,2024-07-01T00:00:00.000000000
700169,106817,894,A,2024-03-01T00:00:00.000000000
700170,106428,387,E,2025-05-01T00:00:00.000000000
700171,106277,352,E,2025-01-01T00:00:00.000000000
700172,108960,702,C,2022-03-01T00:00:00.000000000
700173,111915,815,B,2024-07-01T00:00:00.000000000
700174,108451,832,B,2024-10-01T00:00:00.000000000
700175,106646,543,E,2024-02-01T00:00:00.000000000
700176,106735,351,E,2023-12-01T00:00:00.000000000
700177,102943,542,E,2022-10-01T00:00:00.000000000
700178,109779,701,C,2024-05-01T00:00:00.000000000
700179,108275,855,A,2025-02-01T00:00:00.000000000
700180,104505,412,E,2023-01-01T00:00:00.000000000
700181,105275,522,E,2025-01-01T00:00:00.000000000
700182,103561,730,C,2025-03-01T00:00:00.000000000
700183,106471,473,E,2022-06-01T00:00:00.000000000
700184,109831,646,D,2023-02-01T00:00:00.000000000
700185,102393,646,D,2024-06-01T00:00:00.000000000
700186,111162,484,E,2025-03-01T00:00:00.000000000
700187,106240,695,C,2022-04-01T00:00:00.000000000
700188,102684,584,D,2025-09-01T00:00:00.000000000
700189,102230,612,D,2024-04-01T00:00:00.000000000
700190,111590,497,E,2025-03-01T00:00:00.000000000
700191,111829,866,A,2022-10-01T00:00:00.000000000
700192,109005,370,E,2024-02-01T00:00:00.000000000
700193,103747,864,A,2024-10-01T00:00:00.000000000
700194,100895,766,B,2024-05-01T00:00:00.000000000
700195,108852,825,B,2022-08-01T00:00:00.000000000
700196,105040,797,B,2025-03-01T00:00:00.000000000
700197,111041,832,B,2023-06-01T00:00:00.000000000
700198,110617,761,B,2022-09-01T00:00:00.000000000
700199,101110,825,B,2023-10-01T00:00:00.000000000
700200,103745,414,E,2023-06-01T00:00:00.000000000
700201,106823,682,C,2025-01-01T00:00:00.000000000
700202,109350,494,E,2024-09-01T00:00:00.000000000
700203,102137,506,E,2025-09-01T00:00:00.000000000
700204,101840,731,C,2022-02-01T00:00:00.000000000
700205,101910,804,B,2024-02-01T00:00:00.000000000
700206,111856,761,B,2023-05-01T00:00:00.000000000
700207,111102,410,E,2022-04-01T00:00:00.000000000
700208,100742,739,C,2022-09-01T00:00:00.000000000
700209,103160,468,E,2022-10-01T00:00:00.000000000
700210,101316,731,C,2022-05-01T00:00:00.000000000
700211,104541,557,D,2025-02-01T00:00:00.000000000
700212,107566,754,B,2025-04-01T00:00:00.000000000
700213,107681,651,C,2023-10-01T00:00:00.000000000
700214,107007,422,E,2025-05-01T00:00:00.000000000
700215,103805,591,D,2023-07-01T00:00:00.000000000
700216,109232,636,D,2025-01-01T00:00:00.000000000
700217,108108,578,D,2024-09-01T00:00:00.000000000
700218,101731,530,E,2022-06-01T00:00:00.000000000
700219,109847,408,E,2023-11-01T00:00:00.000000000
700220,107409,844,B,2023-02-01T00:00:00.000000000
700221,101567,425,E,2024-07-01T00:00:00.000000000
700222,101810,879,A,2024-09-01T00:00:00.000000000
700223,107874,626,D,2023-05-01T00:00:00.000000000
700224,105123,566,D,2022-01-01T00:00:00.000000000
700225,110520,787,B,2022-12-01T00:00:00.000000000
700226,111208,575,D,2022-03-01T00:00:00.000000000
700227,109686,361,E,2025-09-01T00:00:00.000000000
700228,108796,470,E,2024-12-01T00:00:00.000000000
700229,108669,391,E,2023-12-01T00:00:00.000000000
700230,107280,374,E,2025-05-01T00:00:00.000000000
700231,105852,420,E,2023-02-01T00:00:00.000000000
700232,104705,783,B,2025-01-01T00:00:00.000000000
700233,100141,562,D,2024-04-01T00:00:00.000000000
700234,104655,437,E,2024-03-01T00:00:00.000000000
700235,102098,467,E,2023-08-01T00:00:00.000000000
700236,110762,815,B,2023-03-01T00:00:00.000000000
700237,105389,500,E,2025-06-01T00:00:00.000000000
700238,101286,401,E,2024-01-01T00:00:00.000000000
700239,109401,318,E,2025-08-01T00:00:00.000000000
700240,100807,665,C,2022-06-01T00:00:00.000000000
700241,107388,780,B,2023-02-01T00:00:00.000000000
700242,110320,721,C,2025-03-01T00:00:00.000000000
700243,103805,833,B,2025-06-01T00:00:00.000000000
700244,104504,658,C,2024-06-01T00:00:00.000000000
700245,100973,448,E,2024-04-01T00:00:00.000000000
700246,102938,796,B,2024-07-01T00:00:00.000000000
700247,100085,690,C,2022-09-01T00:00:00.000000000
700248,107723,306,E,2022-02-01T00:00:00.000000000
700249,109988,632,D,2025-09-01T00:00:00.000000000
700250,109499,322,E,2022-01-01T00:00:00.000000000
700251,108651,389,E,2022-02-01T00:00:00.000000000
700252,102508,829,B,2024-04-01T00:00:00.000000000
700253,101144,882,A,2024-12-01T00:00:00.000000000
700254,107828,365,E,2023-11-01T00:00:00.000000000
700255,104664,352,E,2023-08-01T00:00:00.000000000
700256,111452,702,C,2024-09-01T00:00:00.000000000
700257,104645,441,E,2024-06-01T00:00:00.000000000
700258,105832,324,E,2025-02-01T00:00:00.000000000
700259,109601,332,E,2024-01-01T00:00:00.000000000
700260,104266,850,B,2023-04-01T00:00:00.000000000
700261,109545,677,C,2025-02-01T00:00:00.000000000
700262,104130,667,C,2025-03-01T00:00:00.000000000
700263,109416,511,E,2022-07-01T00:00:00.000000000
700264,101191,432,E,2025-08-01T00:00:00.000000000
700265,109724,448,E,2024-09-01T00:00:00.000000000
700266,110108,675,C,2024-10-01T00:00:00.000000000
700267,111509,376,E,2023-05-01T00:00:00.000000000
700268,109439,825,B,2025-04-01T00:00:00.000000000
700269,110809,865,A,2022-04-01T00:00:00.000000000
700270,105921,797,B,2023-01-01T00:00:00.000000000
700271,102025,391,E,2024-02-01T00:00:00.000000000
700272,103511,682,C,2023-01-01T00:00:00.000000000
700273,105741,807,B,2024-08-01T00:00:00.000000000
700274,108024,429,E,2025-07-01T00:00:00.000000000
700275,107872,371,E,2022-12-01T00:00:00.000000000
700276,103692,702,C,2023-02-01T00:00:00.000000000
700277,106499,810,B,2023-09-01T00:00:00.000000000
700278,108159,425,E,2024-09-01T00:00:00.000000000
700279,104628,804,B,2025-05-01T00:00:00.000000000
700280,106516,813,B,2022-03-01T00:00:00.000000000
700281,103483,778,B,2022-07-01T00:00:00.000000000
700282,111515,309,E,2023-03-01T00:00:00.000000000
700283,110130,752,B,2022-07-01T00:00:00.000000000
700284,101015,770,B,2025-07-01T00:00:00.000000000
700285,106157,673,C,2024-02-01T00:00:00.000000000
700286,106358,364,E,2024-02-01T00:00:00.000000000
700287,102583,408,E,2022-12-01T00:00:00.000000000
700288,105139,599,D,2025-04-01T00:00:00.000000000
700289,100927,341,E,2025-09-01T00:00:00.000000000
700290,109703,558,D,2022-02-01T00:00:00.000000000
700291,101737,713,C,2025-04-01T00:00:00.000000000
700292,106579,327,E,2023-03-01T00:00:00.000000000
700293,103038,862,A,2025-08-01T00:00:00.000000000
700294,107219,670,C,2024-07-01T00:00:00.000000000
700295,106500,512,E,2025-01-01T00:00:00.000000000
700296,101721,851,A,2024-10-01T00:00:00.000000000
700297,102766,453,E,2022-12-01T00:00:00.000000000
700298,111611,457,E,2022-06-01T00:00:00.000000000
700299,102825,593,D,2025-04-01T00:00:00.000000000
700300,106670,660,C,2024-08-01T00:00:00.000000000
700301,110926,665,C,2024-12-01T00:00:00.000000000
700302,108410,752,B,2022-10-01T00:00:00.000000000
700303,108713,533,E,2023-04-01T00:00:00.000000000
700304,100404,476,E,2024-01-01T00:00:00.000000000
700305,105138,891,A,2024-06-01T00:00:00.000000000
700306,108771,351,E,2025-04-01T00:00:00.000000000
700307,110046,747,C,2024-05-01T00:00:00.000000000
700308,106158,629,D,2023-11-01T00:00:00.000000000
700309,104421,893,A,2025-03-01T00:00:00.000000000
700310,103697,852,A,2025-08-01T00:00:00.000000000
700311,105066,595,D,2022-07-01T00:00:00.000000000
700312,110027,645,D,2023-02-01T00:00:00.000000000
700313,100157,453,E,2025-01-01T00:00:00.000000000
700314,103175,531,E,2022-02-01T00:00:00.000000000
700315,105911,631,D,2025-01-01T00:00:00.000000000
700316,109813,445,E,2022-05-01T00:00:00.000000000
700317,111869,781,B,2025-02-01T00:00:00.000000000
700318,107043,678,C,2023-10-01T00:00:00.000000000
700319,107921,675,C,2022-06-01T00:00:00.000000000
700320,100805,867,A,2025-09-01T00:00:00.000000000
700321,109497,329,E,2022-07-01T00:00:00.000000000
700322,110386,728,C,2024-12-01T00:00:00.000000000
700323,108705,797,B,2022-05-01T00:00:00.000000000
700324,107235,886,A,2024-02-01T00:00:00.000000000
700325,100503,793,B,2024-04-01T00:00:00.000000000
700326,107236,863,A,2023-11-01T00:00:00.000000000
700327,107726,495,E,2022-02-01T00:00:00.000000000
700328,105986,437,E,2025-04-01T00:00:00.000000000
700329,105183,490,E,2023-09-01T00:00:00.000000000
700330,102639,779,B,2022-02-01T00:00:00.000000000
700331,108957,477,E,2022-02-01T00:00:00.000000000
700332,100236,711,C,2023-06-01T00:00:00.000000000
700333,104491,662,C,2025-03-01T00:00:00.000000000
700334,110196,848,B,2024-03-01T00:00:00.000000000
700335,105960,548,E,2022-05-01T00:00:00.000000000
700336,101799,744,C,2022-09-01T00:00:00.000000000
700337,103387,640,D,2023-02-01T00:00:00.000000000
700338,103999,525,E,2022-04-01T00:00:00.000000000
700339,101446,307,E,2022-01-01T00:00:00.000000000
700340,100131,834,B,2025-04-01T00:00:00.000000000
700341,106369,648,D,2023-10-01T00:00:00.000000000
700342,111867,465,E,2023-03-01T00:00:00.000000000
700343,105592,574,D,2024-01-01T00:00:00.000000000
700344,110226,847,B,2024-08-01T00:00:00.000000000
700345,104213,611,D,2024-07-01T00:00:00.000000000
700346,110236,526,E,2025-06-01T00:00:00.000000000
700347,106059,358,E,2023-11-01T00:00:00.000000000
700348,101458,396,E,2023-05-01T00:00:00.000000000
700349,105298,548,E,2024-10-01T00:00:00.000000000
700350,102022,560,D,2022-05-01T00:00:00.000000000
700351,101948,702,C,2025-06-01T00:00:00.000000000
700352,106605,357,E,2024-06-01T00:00:00.000000000
700353,109812,356,E,2025-09-01T00:00:00.000000000
700354,106861,372,E,2024-06-01T00:00:00.000000000
700355,107271,689,C,2023-02-01T00:00:00.000000000
700356,110353,833,B,2024-01-01T00:00:00.000000000
700357,107867,352,E,2022-03-01T00:00:00.000000000
700358,109949,868,A,2025-02-01T00:00:00.000000000
700359,104718,402,E,2023-08-01T00:00:00.000000000
700360,104150,411,E,2023-11-01T00:00:00.000000000
700361,100523,806,B,2023-11-01T00:00:00.000000000
700362,102481,669,C,2023-09-01T00:00:00.000000000
700363,104484,484,E,2025-08-01T00:00:00.000000000
700364,106810,325,E,2022-05-01T00:00:00.000000000
700365,107502,324,E,2022-09-01T00:00:00.000000000
700366,108537,563,D,2025-03-01T00:00:00.000000000
700367,102312,820,B,2023-10-01T00:00:00.000000000
700368,107015,519,E,2023-07-01T00:00:00.000000000
700369,107271,751,B,2022-05-01T00:00:00.000000000
700370,109890,471,E,2022-04-01T00:00:00.000000000
700371,100140,469,E,2023-09-01T00:00:00.000000000
700372,106892,694,C,2023-06-01T00:00:00.000000000
700373,107776,411,E,2022-05-01T00:00:00.000000000
700374,109313,589,D,2025-03-01T00:00:00.000000000
700375,102883,879,A,2023-01-01T00:00:00.000000000
700376,107628,438,E,2024-02-01T00:00:00.000000000
700377,109226,518,E,2023-04-01T00:00:00.000000000
700378,107461,702,C,2022-11-01T00:00:00.000000000
700379,109174,797,B,2022-03-01T00:00:00.000000000
700380,110636,324,E,2022-04-01T00:00:00.000000000
700381,103460,705,C,2022-09-01T00:00:00.000000000
700382,102584,551,D,2024-06-01T00:00:00.000000000
700383,104733,745,C,2025-09-01T00:00:00.000000000
700384,110505,892,A,2022-12-01T00:00:00.000000000
700385,109348,376,E,2023-01-01T00:00:00.000000000
700386,109769,623,D,2023-09-01T00:00:00.000000000
700387,111224,779,B,2025-07-01T00:00:00.000000000
700388,106547,583,D,2025-06-01T00:00:00.000000000
700389,101307,457,E,2023-09-01T00:00:00.000000000
700390,102852,467,E,2024-03-01T00:00:00.000000000
700391,102224,448,E,2022-05-01T00:00:00.000000000
700392,103444,442,E,2023-05-01T00:00:00.000000000
700393,101251,636,D,2023-09-01T00:00:00.000000000
700394,109863,762,B,2022-01-01T00:00:00.000000000
700395,101395,396,E,2023-04-01T00:00:00.000000000
700396,109206,752,B,2025-04-01T00:00:00.000000000
700397,104741,563,D,2023-10-01T00:00:00.000000000
700398,111406,692,C,2023-11-01T00:00:00.000000000
700399,100756,645,D,2023-08-01T00:00:00.000000000
700400,110223,685,C,2022-08-01T00:00:00.000000000
700401,107304,464,E,2025-05-01T00:00:00.000000000
700402,102620,809,B,2025-02-01T00:00:00.000000000
700403,102429,783,B,2024-06-01T00:00:00.000000000
700404,109423,695,C,2022-02-01T00:00:00.000000000
700405,107805,830,B,2024-08-01T00:00:00.000000000
700406,104024,749,C,2023-07-01T00:00:00.000000000
700407,100034,827,B,2023-01-01T00:00:00.000000000
700408,107433,813,B,2025-06-01T00:00:00.000000000
700409,111866,704,C,2023-12-01T00:00:00.000000000
700410,100020,821,B,2022-10-01T00:00:00.000000000
700411,102312,316,E,2022-05-01T00:00:00.000000000
700412,111663,503,E,2024-03-01T00:00:00.000000000
700413,100456,306,E,2024-01-01T00:00:00.000000000
700414,107287,857,A,2022-07-01T00:00:00.000000000
700415,107900,810,B,2025-09-01T00:00:00.000000000
700416,111189,309,E,2024-03-01T00:00:00.000000000
700417,104478,312,E,2023-09-01T00:00:00.000000000
700418,110774,488,E,2025-07-01T00:00:00.000000000
700419,101062,731,C,2024-04-01T00:00:00.000000000
700420,107920,443,E,2023-09-01T00:00:00.000000000
700421,107127,724,C,2024-10-01T00:00:00.000000000
700422,107189,585,D,2023-09-01T00:00:00.000000000
700423,109782,627,D,2024-03-01T00:00:00.000000000
700424,108094,822,B,2023-03-01T00:00:00.000000000
700425,110057,735,C,2022-05-01T00:00:00.000000000
700426,108238,790,B,2023-05-01T00:00:00.000000000
700427,104841,630,D,2022-08-01T00:00:00.000000000
700428,104634,347,E,2023-12-01T00:00:00.000000000
700429,107649,556,D,2023-06-01T00:00:00.000000000
700430,105167,386,E,2025-06-01T00:00:00.000000000
700431,104774,331,E,2022-05-01T00:00:00.000000000
700432,105079,617,D,2023-04-01T00:00:00.000000000
700433,107248,442,E,2023-09-01T00:00:00.000000000
700434,101653,391,E,2022-12-01T00:00:00.000000000
700435,100044,488,E,2023-05-01T00:00:00.000000000
700436,104370,377,E,2025-08-01T00:00:00.000000000
700437,103764,739,C,2024-09-01T00:00:00.000000000
700438,103032,333,E,2022-11-01T00:00:00.000000000
700439,111574,417,E,2025-04-01T00:00:00.000000000
700440,104327,323,E,2025-01-01T00:00:00.000000000
700441,100085,839,B,2025-04-01T00:00:00.000000000
700442,111368,713,C,2022-11-01T00:00:00.000000000
700443,101613,849,B,2024-04-01T00:00:00.000000000
700444,106781,513,E,2025-07-01T00:00:00.000000000
700445,107227,428,E,2024-06-01T00:00:00.000000000
700446,103291,511,E,2023-02-01T00:00:00.000000000
700447,108779,752,B,2025-07-01T00:00:00.000000000
700448,108794,460,E,2023-09-01T00:00:00.000000000
700449,106781,408,E,2024-08-01T00:00:00.000000000
700450,103516,876,A,2024-03-01T00:00:00.000000000
700451,101256,727,C,2024-10-01T00:00:00.000000000
700452,110353,363,E,2022-08-01T00:00:00.000000000
700453,103035,308,E,2025-07-01T00:00:00.000000000
700454,110609,331,E,2024-09-01T00:00:00.000000000
700455,107516,424,E,2025-01-01T00:00:00.000000000
700456,111214,581,D,2023-09-01T00:00:00.000000000
700457,105286,469,E,2024-05-01T00:00:00.000000000
700458,110311,475,E,2023-04-01T00:00:00.000000000
700459,104955,544,E,2022-04-01T00:00:00.000000000
700460,110592,555,D,2025-08-01T00:00:00.000000000
700461,109001,450,E,2024-01-01T00:00:00.000000000
700462,110980,402,E,2022-05-01T00:00:00.000000000
700463,100637,836,B,2023-07-01T00:00:00.000000000
700464,100152,440,E,2025-07-01T00:00:00.000000000
700465,105909,572,D,2025-03-01T00:00:00.000000000
700466,110625,326,E,2022-06-01T00:00:00.000000000
700467,102738,433,E,2024-06-01T00:00:00.000000000
700468,100138,890,A,2024-04-01T00:00:00.000000000
700469,106239,592,D,2023-01-01T00:00:00.000000000
700470,100725,523,E,2022-03-01T00:00:00.000000000
700471,105700,667,C,2024-11-01T00:00:00.000000000
700472,111734,405,E,2022-04-01T00:00:00.000000000
700473,102365,776,B,2022-10-01T00:00:00.000000000
700474,100018,501,E,2022-06-01T00:00:00.000000000
700475,109628,614,D,2022-01-01T00:00:00.000000000
700476,101961,309,E,2022-01-01T00:00:00.000000000
700477,110646,556,D,2022-07-01T00:00:00.000000000
700478,101851,863,A,2023-04-01T00:00:00.000000000
700479,107112,445,E,2023-12-01T00:00:00.000000000
700480,105521,657,C,2022-04-01T00:00:00.000000000
700481,109054,672,C,2023-04-01T00:00:00.000000000
700482,100100,789,B,2022-07-01T00:00:00.000000000
700483,108784,402,E,2024-01-01T00:00:00.000000000
700484,106838,347,E,2023-03-01T00:00:00.000000000
700485,107135,484,E,2022-09-01T00:00:00.000000000
700486,106029,402,E,2022-11-01T00:00:00.000000000
700487,102509,523,E,2022-07-01T00:00:00.000000000
700488,101955,676,C,2025-03-01T00:00:00.000000000
700489,109846,410,E,2023-11-01T00:00:00.000000000
700490,107078,621,D,2022-03-01T00:00:00.000000000
700491,107543,452,E,2022-07-01T00:00:00.000000000
700492,104780,655,C,2022-03-01T00:00:00.000000000
700493,109880,642,D,2022-12-01T00:00:00.000000000
700494,100910,716,C,2022-03-01T00:00:00.000000000
700495,106163,583,D,2022-07-01T00:00:00.000000000
700496,107993,456,E,2023-11-01T00:00:00.000000000
700497,106715,698,C,2025-02-01T00:00:00.000000000
700498,106142,826,B,2023-03-01T00:00:00.000000000
700499,106605,662,C,2023-11-01T00:00:00.000000000
700500,101181,742,C,2025-06-01T00:00:00.000000000
700501,107531,734,C,2022-05-01T00:00:00.000000000
700502,111148,640,D,2025-05-01T00:00:00.000000000
700503,100604,547,E,2024-05-01T00:00:00.000000000
700504,105849,773,B,2023-07-01T00:00:00.000000000
700505,102370,417,E,2023-12-01T00:00:00.000000000
700506,110202,391,E,2023-11-01T00:00:00.000000000
700507,100202,847,B,2024-04-01T00:00:00.000000000
700508,100242,736,C,2023-05-01T00:00:00.000000000
700509,109721,823,B,2022-09-01T00:00:00.000000000
700510,106231,839,B,2023-05-01T00:00:00.000000000
700511,103740,374,E,2022-01-01T00:00:00.000000000
700512,102721,378,E,2025-04-01T00:00:00.000000000
700513,106026,378,E,2022-09-01T00:00:00.000000000
700514,108851,504,E,2025-04-01T00:00:00.000000000
700515,108904,840,B,2022-06-01T00:00:00.000000000
