CollateralID,LoanID,CollateralType,Valuation,LienStatus
400238,9020276,Property,378778.21,Released
400239,9015516,Deposit,73531.02,Active
400240,9007745,Vehicle,348125.5,Active
400241,9011886,Vehicle,345335.03,Released
400242,9029363,Vehicle,10419.13,Active
400243,9000405,Property,339693.98,Released
400244,9006570,Deposit,61321.9,Active
400245,9024839,Vehicle,475567.17,Active
400246,9003693,Vehicle,343435.42,Active
400247,9002173,Property,183100.58,Released
400248,9029082,Property,108878.7,Active
400249,9027941,Deposit,184178.9,Released
400250,9016720,Vehicle,132795.35,Released
400251,9000211,Deposit,227547.46,Active
400252,9021743,Property,54817.03,Active
400253,9005904,Vehicle,459220.06,Active
400254,9023013,Property,36498.88,Active
400255,9019503,Vehicle,125077.09,Released
400256,9023473,Gold,219248.86,Released
400257,9003321,Equipment,201323.73,Released
400258,9016071,Property,258076.35,Active
400259,9012762,Property,121296.01,Active
400260,9005145,Equipment,33000.86,Released
400261,9019835,Vehicle,428578.7,Active
400262,9029733,Property,61737.77,Released
400263,9011723,Property,338367.82,Active
400264,9006602,Gold,334676.96,Active
400265,9000905,Property,49743.72,Active
400266,9028309,Property,258640.62,Active
400267,9014378,Property,294697.6,Active
400268,9025943,Deposit,170316.07,Released
400269,9027455,Property,174659.61,Active
400270,9020888,Property,417218.39,Released
400271,9019536,Property,301935.67,Released
400272,9007191,Property,242596.32,Active
400273,9003119,Gold,154089.17,Released
400274,9008225,Vehicle,245518.7,Released
400275,9009526,Property,180987.74,Active
400276,9003175,Property,142800.76,Released
400277,9020239,Equipment,205311.86,Active
400278,9009791,Deposit,147622.65,Active
400279,9002070,Equipment,259011.66,Active
400280,9014654,Gold,298464.67,Active
400281,9020572,Deposit,308000.82,Active
400282,9004367,Vehicle,431212.4,Active
400283,9026183,Vehicle,323152.86,Released
400284,9029374,Property,126669.65,Active
400285,9018945,Vehicle,417676.25,Active
400286,9005362,Equipment,106693.3,Active
400287,9011389,Property,408029.11,Released
400288,9019875,Equipment,9575.66,Active
400289,9012733,Other,186166.34,Released
400290,9029454,Property,497496.06,Active
400291,9026113,Property,412125.23,Active
400292,9012927,Property,291368.61,Active
400293,9015765,Property,216414.76,Active
400294,9005789,Property,343399.53,Active
400295,9019014,Equipment,489585.56,Active
400296,9020331,Property,382744.56,Active
400297,9009449,Deposit,106081.5,Active
400298,9025238,Property,13153.01,Active
400299,9008520,Vehicle,416893.35,Active
400300,9000053,Deposit,271556.76,Released
400301,9021367,Other,478544.93,Active
400302,9014579,Vehicle,418979.19,Active
400303,9018294,Property,80662.51,Active
400304,9013738,Vehicle,51099.95,Active
400305,9015212,Deposit,159402.7,Active
400306,9016176,Vehicle,438340.05,Active
400307,9019552,Property,356612.32,Active
400308,9029347,Vehicle,406572.0,Active
400309,9024232,Property,41324.77,Active
400310,9022162,Equipment,118200.7,Active
400311,9006834,Vehicle,54187.47,Active
400312,9011919,Property,385506.94,Released
400313,9025056,Deposit,255473.67,Released
400314,9015032,Property,345712.03,Active
400315,9000718,Property,130587.69,Active
400316,9002609,Deposit,15976.32,Active
400317,9003226,Property,44101.84,Active
400318,9018262,Vehicle,145920.63,Active
400319,9004151,Property,399664.56,Active
400320,9015934,Vehicle,164684.68,Released
400321,9012881,Property,332938.32,Active
400322,9021197,Property,78226.52,Active
400323,9014389,Equipment,131540.75,Active
400324,9005439,Gold,38936.06,Active
400325,9008927,Deposit,372939.39,Active
400326,9015692,Property,24179.91,Released
400327,9016313,Equipment,49171.91,Active
400328,9016805,Equipment,119754.61,Active
400329,9019450,Vehicle,24167.43,Active
400330,9023189,Vehicle,464679.68,Active
400331,9016850,Vehicle,466199.83,Active
400332,9025077,Vehicle,173703.23,Active
400333,9018045,Property,293903.32,Active
400334,9009303,Other,437915.44,Active
400335,9024615,Vehicle,95583.34,Active
400336,9010105,Vehicle,336264.07,Active
400337,9024033,Vehicle,137904.54,Released
400338,9029272,Gold,69780.24,Released
400339,9008352,Property,54579.1,Active
400340,9017713,Property,185064.23,Released
400341,9003971,Gold,467662.72,Released
400342,9026813,Gold,453317.69,Active
400343,9011589,Gold,486504.19,Active
400344,9023019,Property,349975.11,Active
400345,9000979,Equipment,112974.27,Released
400346,9019432,Property,331905.38,Active
400347,9023715,Property,406997.84,Active
400348,9015012,Property,85033.95,Active
400349,9002452,Deposit,416521.63,Released
400350,9023730,Property,341815.09,Active
400351,9005622,Vehicle,131571.05,Active
400352,9005130,Equipment,313390.67,Released
400353,9006397,Property,172238.34,Released
400354,9027187,Deposit,348228.73,Active
400355,9026139,Property,307039.15,Active
400356,9022198,Deposit,7373.81,Active
400357,9029734,Equipment,464212.7,Active
400358,9010138,Property,227069.5,Active
400359,9006923,Gold,253097.55,Released
400360,9006737,Property,317573.6,Released
400361,9007998,Deposit,425085.0,Released
400362,9015065,Equipment,460113.3,Released
400363,9000338,Equipment,230788.72,Active
400364,9013654,Property,432548.19,Active
400365,9001373,Property,14809.7,Active
400366,9009487,Vehicle,416700.2,Active
400367,9000811,Property,444750.4,Active
400368,9002541,Gold,372119.15,Active
400369,9026091,Deposit,476067.55,Released
400370,9028746,Vehicle,210183.52,Active
400371,9019388,Vehicle,123572.81,Released
400372,9015819,Property,322344.11,Active
400373,9026926,Deposit,429374.12,Active
400374,9007455,Vehicle,462620.09,Active
400375,9026652,Property,483850.39,Released
400376,9004868,Equipment,95865.76,Active
400377,9017997,Vehicle,283243.59,Released
400378,9020715,Equipment,233432.71,Active
400379,9010878,Other,153161.89,Released
400380,9023723,Equipment,443991.22,Active
400381,9023924,Property,442719.82,Released
400382,9013937,Property,87216.23,Released
400383,9016837,Other,184749.56,Active
400384,9019205,Gold,216910.2,Active
400385,9006185,Property,87577.76,Active
400386,9001908,Vehicle,498065.69,Active
400387,9014186,Property,119111.79,Active
400388,9027053,Other,156195.65,Released
400389,9009594,Other,357424.92,Active
400390,9021387,Other,372824.04,Active
400391,9006086,Equipment,390270.32,Active
400392,9002947,Property,233439.33,Released
400393,9017962,Property,127841.61,Active
400394,9014442,Property,126619.43,Active
400395,9021215,Deposit,138178.07,Active
400396,9022683,Gold,448946.41,Active
400397,9007479,Equipment,61877.88,Active
400398,9006182,Gold,69751.53,Released
400399,9027157,Deposit,172623.22,Released
400400,9009835,Vehicle,62913.22,Active
400401,9019714,Deposit,16115.29,Active
400402,9001649,Vehicle,454091.64,Active
400403,9011708,Property,283503.52,Active
400404,9029521,Vehicle,370779.37,Released
400405,9021662,Vehicle,137356.34,Active
400406,9002469,Deposit,123152.12,Released
400407,9025949,Gold,260189.37,Active
400408,9012168,Property,407235.28,Active
400409,9000908,Vehicle,124148.32,Released
400410,9006842,Property,12052.67,Released
400411,9007173,Equipment,94215.41,Released
400412,9002930,Vehicle,158137.37,Active
400413,9017158,Property,272898.49,Active
400414,9006745,Property,89910.93,Active
400415,9012282,Gold,200530.22,Active
400416,9002598,Equipment,244191.36,Active
400417,9025426,Vehicle,148950.49,Active
400418,9004287,Deposit,337520.92,Released
400419,9007517,Vehicle,147784.6,Released
400420,9020670,Vehicle,194114.8,Active
400421,9018594,Property,150649.91,Active
400422,9004229,Vehicle,198546.07,Active
400423,9005948,Property,419888.24,Active
400424,9011688,Property,439964.07,Active
400425,9001996,Vehicle,257094.25,Active
400426,9014920,Other,453469.96,Active
400427,9012085,Equipment,110318.91,Active
400428,9029827,Vehicle,137811.55,Active
400429,9028882,Gold,341977.79,Active
400430,9017875,Property,449445.55,Active
400431,9026175,Vehicle,162515.28,Active
400432,9015080,Gold,220788.16,Active
400433,9027273,Deposit,234947.69,Released
400434,9025608,Equipment,474134.72,Active
400435,9026981,Property,308071.66,Released
400436,9011243,Gold,370064.34,Active
400437,9019509,Vehicle,157921.19,Active
400438,9002581,Gold,184941.09,Released
400439,9003056,Property,222729.21,Active
400440,9015454,Property,105784.1,Released
400441,9010303,Property,272856.2,Active
400442,9012328,Property,454387.43,Active
400443,9020459,Property,39464.42,Active
400444,9006607,Property,133507.18,Active
400445,9014014,Property,107557.96,Released
400446,9001159,Equipment,336431.85,Released
400447,9011845,Vehicle,446778.12,Active
400448,9019230,Vehicle,394027.43,Active
400449,9011562,Gold,283304.27,Released
400450,9021164,Property,360841.46,Released
400451,9023570,Equipment,391120.56,Released
400452,9024778,Vehicle,256745.09,Active
400453,9022010,Property,12732.94,Released
400454,9018942,Property,67153.38,Active
400455,9001104,Property,186945.41,Active
400456,9008832,Property,10048.87,Released
400457,9002771,Property,189648.74,Released
400458,9023987,Other,324664.33,Released
400459,9029036,Property,132209.26,Active
400460,9014907,Deposit,405354.38,Active
400461,9025240,Other,222873.1,Active
400462,9027228,Equipment,70007.35,Released
400463,9008321,Property,441086.75,Released
400464,9004172,Equipment,69113.2,Released
400465,9015623,Other,193023.92,Released
400466,9004174,Property,457344.03,Released
400467,9025758,Property,237121.14,Released
400468,9017388,Deposit,126107.17,Active
400469,9022937,Vehicle,177487.18,Active
400470,9027154,Property,74895.54,Active
400471,9027514,Property,169015.25,Active
400472,9022276,Deposit,466914.08,Released
400473,9016563,Other,41974.78,Active
400474,9005670,Vehicle,86689.19,Active
400475,9007996,Property,271566.21,Active
400476,9007436,Vehicle,333113.02,Released
400477,9000860,Gold,413885.05,Active
400478,9001050,Gold,73338.95,Active
400479,9023737,Property,137460.14,Active
400480,9020358,Vehicle,153559.45,Active
400481,9018868,Vehicle,129915.05,Released
400482,9025100,Gold,388855.22,Active
400483,9024297,Property,46019.08,Released
400484,9024043,Property,264652.65,Active
400485,9000502,Vehicle,194184.4,Released
400486,9029488,Deposit,304453.45,Released
400487,9006508,Gold,342470.66,Released
400488,9014091,Property,197119.38,Active
400489,9021568,Property,488130.88,Active
400490,9002687,Vehicle,49813.82,Active
400491,9010224,Equipment,386044.03,Active
400492,9022388,Property,254375.69,Active
400493,9014008,Vehicle,161897.03,Released
400494,9006629,Property,249634.86,Active
400495,9017447,Property,265809.1,Active
400496,9026764,Other,234570.13,Active
400497,9017870,Property,405583.0,Active
400498,9016514,Property,458835.18,Released
400499,9000635,Property,95899.36,Active
400500,9024730,Property,158705.14,Released
400501,9026575,Property,55437.13,Active
400502,9004887,Deposit,85794.51,Active
400503,9004331,Property,467620.19,Released
400504,9006337,Property,381312.35,Released
400505,9018160,Property,26292.72,Released
400506,9000028,Property,323229.76,Active
400507,9022828,Equipment,397438.29,Released
400508,9027746,Equipment,9004.87,Active
400509,9024236,Gold,289170.87,Active
400510,9013849,Property,266384.89,Active
400511,9004226,Gold,92409.84,Active
400512,9001399,Property,91228.0,Active
400513,9006674,Property,263682.09,Active
400514,9015192,Deposit,234621.43,Active
400515,9002832,Equipment,95742.25,Released
400516,9011315,Property,251200.46,Active
400517,9021102,Property,16285.31,Active
400518,9005776,Vehicle,62280.59,Active
400519,9022050,Property,77750.49,Active
400520,9013797,Property,454487.45,Active
400521,9016504,Property,376909.59,Released
400522,9006589,Property,139932.56,Released
400523,9020936,Gold,210629.44,Released
400524,9011983,Property,175599.21,Active
400525,9010645,Other,77563.71,Active
400526,9010168,Deposit,451610.68,Active
400527,9002101,Property,457548.82,Active
400528,9027369,Gold,413349.98,Released
400529,9028613,Gold,140797.41,Active
400530,9010219,Property,129220.41,Active
400531,9023504,Other,402115.14,Released
400532,9016041,Equipment,454312.73,Released
400533,9010779,Property,428275.19,Active
400534,9006404,Deposit,471087.0,Active
400535,9029594,Vehicle,381120.72,Active
400536,9019990,Property,125934.97,Active
400537,9004040,Property,403685.57,Active
400538,9020758,Equipment,372525.82,Released
400539,9028306,Equipment,207682.6,Active
400540,9006831,Deposit,242598.46,Active
400541,9014944,Equipment,232191.7,Released
400542,9018623,Vehicle,282227.69,Released
400543,9007068,Property,202427.95,Active
400544,9003058,Gold,423079.86,Released
400545,9005442,Property,429179.84,Active
400546,9005663,Vehicle,102130.11,Released
400547,9005521,Property,315036.45,Active
400548,9021221,Property,144644.92,Active
400549,9009618,Vehicle,248046.81,Active
400550,9009038,Vehicle,49924.21,Active
400551,9011301,Property,482628.04,Active
400552,9024057,Equipment,288996.0,Active
400553,9028891,Vehicle,27461.57,Active
400554,9005094,Vehicle,274939.11,Released
400555,9028513,Vehicle,359392.05,Active
400556,9012720,Equipment,392283.77,Active
400557,9005353,Deposit,97613.96,Active
400558,9010637,Equipment,354824.53,Active
400559,9028750,Gold,56330.77,Active
400560,9026177,Property,16192.42,Active
400561,9020830,Vehicle,17979.93,Released
400562,9028045,Property,365163.25,Active
400563,9015762,Property,193383.18,Released
400564,9009567,Property,146091.09,Active
400565,9000031,Property,128140.11,Active
400566,9029384,Gold,388157.1,Active
400567,9024046,Deposit,78831.23,Active
400568,9007199,Vehicle,324233.94,Released
400569,9009087,Property,88789.38,Released
400570,9010428,Other,268069.01,Active
400571,9019220,Property,335541.11,Released
400572,9019451,Property,16074.54,Active
400573,9016474,Equipment,53422.51,Released
400574,9014217,Vehicle,87891.41,Released
400575,9013154,Other,169725.27,Active
400576,9027061,Property,30683.28,Released
400577,9019346,Property,197625.57,Released
400578,9016111,Property,412830.56,Active
400579,9004149,Gold,382309.65,Active
400580,9011893,Gold,303573.1,Active
400581,9025484,Other,220231.1,Released
400582,9001224,Property,188601.41,Active
400583,9025155,Vehicle,153916.93,Active
400584,9027070,Property,148890.72,Active
400585,9002169,Property,424417.81,Active
400586,9015621,Property,470791.42,Active
400587,9014099,Property,446297.79,Released
400588,9018966,Property,86554.49,Active
400589,9017263,Gold,296001.23,Active
400590,9004884,Property,249612.49,Active
400591,9006728,Vehicle,61278.94,Released
400592,9027162,Property,62623.8,Active
400593,9027032,Vehicle,377964.04,Active
400594,9000814,Property,216888.05,Active
400595,9024505,Property,157343.62,Active
400596,9022439,Property,173509.5,Active
400597,9017254,Deposit,413295.02,Released
400598,9007790,Deposit,181477.23,Active
400599,9000596,Vehicle,330635.44,Released
400600,9005602,Equipment,174875.72,Active
400601,9009430,Vehicle,291375.89,Released
400602,9019180,Vehicle,166525.99,Released
400603,9004808,Vehicle,488923.04,Released
400604,9023676,Property,285991.98,Active
400605,9029556,Property,402012.33,Active
400606,9029341,Property,124442.84,Released
400607,9001879,Equipment,320245.96,Active
400608,9026706,Vehicle,465394.09,Active
400609,9014747,Deposit,481459.8,Active
400610,9014707,Vehicle,298427.67,Released
400611,9025872,Property,39237.71,Active
400612,9016379,Property,462925.25,Active
400613,9024444,Vehicle,224780.12,Released
400614,9005136,Vehicle,172306.87,Released
400615,9017337,Property,338856.8,Released
400616,9017143,Property,47648.52,Active
400617,9003195,Deposit,231392.55,Released
400618,9011696,Property,376430.03,Active
400619,9027965,Vehicle,467147.48,Active
400620,9017365,Property,270000.63,Active
400621,9010073,Gold,455835.46,Released
400622,9004835,Deposit,44744.65,Active
400623,9004322,Vehicle,400781.61,Released
400624,9015011,Deposit,218616.32,Active
400625,9002553,Equipment,282698.19,Active
400626,9025539,Deposit,110021.63,Active
400627,9015585,Vehicle,294051.26,Released
400628,9008063,Property,401910.28,Released
400629,9017435,Equipment,284672.86,Active
400630,9006644,Other,295614.76,Active
400631,9027382,Property,418854.69,Active
400632,9027442,Other,76949.3,Released
400633,9028300,Deposit,453161.69,Released
400634,9011059,Property,23654.59,Active
400635,9010337,Deposit,128885.05,Released
400636,9013775,Vehicle,253258.95,Active
400637,9016200,Property,415733.56,Released
400638,9022278,Gold,133746.39,Active
400639,9008580,Vehicle,291024.0,Active
400640,9005611,Property,328415.04,Active
400641,9003800,Deposit,30082.92,Released
400642,9018062,Property,402341.35,Active
400643,9007602,Property,333415.9,Released
400644,9026097,Vehicle,454709.8,Active
400645,9016992,Vehicle,482570.4,Active
400646,9029020,Property,398138.46,Released
400647,9015780,Property,265400.94,Active
400648,9004486,Vehicle,260129.18,Released
400649,9022145,Property,352537.07,Active
400650,9007320,Vehicle,196194.94,Active
400651,9023665,Property,374290.72,Released
400652,9002330,Gold,388827.68,Active
400653,9022758,Property,222836.44,Active
400654,9010986,Vehicle,435136.35,Active
400655,9007300,Property,10864.88,Active
400656,9010384,Property,250430.69,Released
400657,9027649,Vehicle,276771.2,Active
400658,9013525,Property,310979.36,Active
400659,9018786,Property,302293.76,Active
400660,9022692,Vehicle,191366.01,Active
400661,9005318,Property,59596.37,Active
400662,9002494,Property,452227.92,Active
400663,9020035,Other,199411.17,Active
400664,9025905,Property,233937.38,Active
400665,9010641,Gold,388445.57,Released
400666,9014665,Vehicle,352095.54,Active
400667,9008146,Property,375155.01,Active
400668,9002935,Equipment,460218.14,Active
400669,9029540,Vehicle,421183.27,Active
400670,9001763,Other,38146.35,Active
400671,9025626,Other,337945.42,Active
400672,9029450,Vehicle,81943.23,Released
400673,9010099,Vehicle,20685.6,Active
400674,9013439,Vehicle,221561.27,Active
400675,9015257,Property,402834.35,Active
400676,9009902,Equipment,110125.72,Released
400677,9029464,Vehicle,201494.3,Released
400678,9016553,Property,49107.71,Active
400679,9027275,Vehicle,6313.83,Released
400680,9022960,Gold,156857.42,Active
400681,9013232,Vehicle,23017.21,Active
400682,9005201,Vehicle,281394.02,Active
400683,9004678,Deposit,166821.22,Active
400684,9014839,Property,456397.99,Active
400685,9001124,Property,119862.21,Active
400686,9001868,Property,258226.53,Active
400687,9025378,Other,167408.45,Active
400688,9017026,Property,254683.87,Active
400689,9002605,Gold,23197.43,Active
400690,9026852,Property,308969.99,Active
400691,9005110,Vehicle,386123.93,Active
400692,9005991,Deposit,14851.58,Released
400693,9020901,Vehicle,447995.31,Active
400694,9020518,Deposit,138096.13,Active
400695,9004931,Equipment,398739.91,Active
400696,9012310,Property,498988.98,Active
400697,9009013,Equipment,128521.71,Active
400698,9022289,Vehicle,221426.19,Released
400699,9017557,Equipment,54114.03,Active
400700,9001465,Property,13021.63,Released
400701,9028788,Vehicle,131967.73,Released
400702,9011366,Property,215655.16,Released
400703,9009929,Gold,470429.41,Released
400704,9015731,Gold,294764.48,Active
400705,9025747,Vehicle,28747.43,Released
400706,9007797,Vehicle,463555.24,Active
400707,9017056,Property,284945.65,Active
400708,9027692,Equipment,138633.63,Active
400709,9013124,Vehicle,173284.76,Active
400710,9021851,Vehicle,108815.19,Active
400711,9012876,Property,436627.91,Active
400712,9010359,Property,19706.27,Active
400713,9024879,Vehicle,408451.71,Active
400714,9018824,Equipment,194125.27,Released
400715,9029138,Property,358938.99,Active
400716,9018645,Property,63180.74,Active
400717,9014264,Equipment,104530.44,Active
400718,9027441,Property,497375.72,Released
400719,9009265,Deposit,303850.59,Active
400720,9001922,Property,389195.27,Released
400721,9026841,Vehicle,49772.97,Released
400722,9014207,Vehicle,393400.81,Released
