EventID,LoanID,EventDate,DPD,ActionType,PTP_Flag,PaymentAmount,AgentID
20000178,9001288,2023-01-05,0,SMS,1,404.1,1053
20000179,9010142,2020-02-13,0,LegalNotice,0,0.0,1077
20000180,9002994,2022-06-02,0,Email,0,0.0,1003
20000181,9002933,2023-09-29,0,Call,0,0.0,1062
20000182,9011441,2021-09-03,30,FieldVisit,1,730.28,1005
20000183,9028776,2021-10-20,0,Email,0,0.0,1027
20000184,9021456,2023-12-11,90,Call,0,0.0,1067
20000185,9005374,2021-09-06,30,Email,1,137.66,1017
20000186,9005836,2022-06-24,60,Email,1,848.46,1031
20000187,9023671,2023-10-31,60,SMS,0,0.0,1003
20000188,9022941,2020-03-29,30,Call,1,865.48,1037
20000189,9012909,2020-01-27,30,Call,0,0.0,1063
20000190,9008842,2020-12-06,0,SMS,0,0.0,1002
20000191,9004994,2022-12-05,60,Call,1,281.65,1082
20000192,9006837,2020-04-22,30,SMS,0,0.0,1000
20000193,9014316,2024-05-07,30,Call,0,0.0,1033
20000194,9012242,2025-01-07,0,Email,1,405.22,1059
20000195,9013461,2021-08-01,90,LegalNotice,0,0.0,1091
20000196,9022192,2025-06-11,0,SMS,0,0.0,1099
20000197,9021558,2022-11-04,0,FieldVisit,0,0.0,1027
20000198,9024405,2023-05-25,30,Call,0,0.0,1052
20000199,9005950,2025-08-08,0,SMS,1,892.66,1046
20000200,9010079,2023-01-07,90,FieldVisit,1,692.58,1069
20000201,9013119,2020-12-09,0,SMS,0,0.0,1017
20000202,9003956,2022-09-10,60,Call,0,0.0,1041
20000203,9013143,2021-02-11,60,Call,0,0.0,1033
20000204,9002632,2020-06-17,30,LegalNotice,0,0.0,1046
20000205,9012846,2024-06-21,0,Call,0,0.0,1028
20000206,9024152,2020-10-15,0,SMS,0,0.0,1049
20000207,9014421,2022-03-02,30,FieldVisit,0,0.0,1092
20000208,9005271,2025-03-01,30,Call,1,729.44,1099
20000209,9017451,2022-09-25,120,Call,0,0.0,1075
20000210,9027270,2020-03-12,60,Call,0,0.0,1033
20000211,9002813,2022-06-15,0,Email,0,0.0,1027
20000212,9022196,2022-07-11,0,Call,0,0.0,1043
20000213,9013718,2020-03-20,30,Email,0,0.0,1033
20000214,9007360,2023-09-21,0,Call,1,153.99,1021
20000215,9028708,2022-07-26,0,Email,1,701.91,1091
20000216,9025156,2022-05-24,0,FieldVisit,0,0.0,1002
20000217,9021270,2022-04-15,30,Call,0,0.0,1062
20000218,9022825,2023-06-07,30,Email,1,841.77,1000
20000219,9013524,2022-06-28,0,Call,0,0.0,1048
20000220,9000270,2025-08-31,60,SMS,0,0.0,1062
20000221,9025793,2023-09-07,0,Call,1,409.36,1048
20000222,9015828,2021-08-02,60,Call,0,0.0,1031
20000223,9024689,2025-07-08,30,SMS,0,0.0,1029
20000224,9014353,2023-05-26,30,Call,1,241.85,1076
20000225,9028689,2025-08-22,0,Call,0,0.0,1004
20000226,9022161,2024-12-08,60,Email,0,0.0,1048
20000227,9018638,2020-12-20,30,Call,1,867.33,1058
20000228,9026426,2024-02-20,0,Call,1,370.12,1053
20000229,9018250,2023-08-11,0,Call,0,0.0,1057
20000230,9012541,2025-04-04,0,LegalNotice,0,0.0,1093
20000231,9029294,2020-01-28,120,SMS,1,665.14,1029
20000232,9029131,2023-05-22,120,Email,1,869.0,1003
20000233,9012992,2023-09-05,30,Call,1,115.6,1070
20000234,9029666,2023-10-20,0,Call,0,0.0,1020
20000235,9009705,2020-01-28,60,Email,1,684.4,1044
20000236,9011130,2022-02-06,0,Email,0,0.0,1096
20000237,9014879,2023-05-04,0,Email,0,0.0,1072
20000238,9001086,2023-08-26,90,SMS,0,0.0,1081
20000239,9002441,2023-03-29,0,Email,0,0.0,1033
20000240,9023691,2021-03-23,0,Email,1,825.81,1032
20000241,9023254,2023-03-29,90,SMS,0,0.0,1031
20000242,9022618,2023-09-27,0,Email,0,0.0,1009
20000243,9017152,2020-10-19,0,SMS,0,0.0,1082
20000244,9004704,2021-01-02,0,Call,0,0.0,1021
20000245,9021094,2022-09-25,120,FieldVisit,1,976.23,1070
20000246,9010770,2020-12-14,90,SMS,1,955.34,1082
20000247,9027509,2021-04-30,60,Call,0,0.0,1054
20000248,9026006,2024-01-08,30,FieldVisit,1,501.24,1076
20000249,9007178,2020-03-25,30,FieldVisit,0,0.0,1046
20000250,9005424,2020-07-05,30,SMS,1,890.22,1093
20000251,9017219,2023-02-15,30,SMS,0,0.0,1052
20000252,9029506,2025-09-25,0,Email,0,0.0,1010
20000253,9022730,2022-12-13,0,Email,0,0.0,1010
20000254,9001455,2024-11-21,0,SMS,1,126.63,1065
20000255,9017288,2023-01-07,60,Call,0,0.0,1021
20000256,9027927,2022-09-13,0,Call,0,0.0,1094
20000257,9028966,2023-12-09,60,LegalNotice,0,0.0,1078
20000258,9029960,2023-07-15,30,Call,0,0.0,1082
20000259,9000782,2025-07-15,30,SMS,1,497.98,1090
20000260,9000616,2022-10-27,0,Call,0,0.0,1082
20000261,9014848,2024-05-16,30,SMS,1,937.69,1014
20000262,9026314,2025-08-06,0,Email,1,604.82,1069
20000263,9005230,2021-05-26,60,Email,0,0.0,1089
20000264,9017145,2024-03-28,60,SMS,0,0.0,1051
20000265,9016230,2024-01-10,30,Call,1,884.44,1090
20000266,9021526,2024-03-18,0,SMS,0,0.0,1078
20000267,9021000,2022-03-14,0,SMS,0,0.0,1059
20000268,9020101,2025-01-25,0,Call,1,978.48,1020
20000269,9018187,2022-11-10,30,Email,1,242.59,1090
20000270,9008043,2020-08-30,60,SMS,0,0.0,1068
20000271,9024045,2023-01-04,0,Email,0,0.0,1079
20000272,9003470,2025-01-31,30,FieldVisit,0,0.0,1024
20000273,9029058,2025-01-21,60,Call,0,0.0,1010
20000274,9029695,2020-06-05,0,Email,0,0.0,1072
20000275,9024832,2020-12-13,0,SMS,0,0.0,1014
20000276,9009868,2020-06-10,30,Call,1,116.68,1059
20000277,9016117,2022-12-17,30,FieldVisit,0,0.0,1029
20000278,9022752,2020-10-21,0,Call,0,0.0,1083
20000279,9008778,2023-06-24,0,SMS,1,603.51,1072
20000280,9019773,2021-03-10,30,Email,1,677.95,1031
20000281,9002255,2022-10-29,0,SMS,0,0.0,1083
20000282,9007924,2023-03-26,30,SMS,1,554.07,1025
20000283,9005250,2021-01-07,0,FieldVisit,1,277.97,1056
20000284,9017423,2025-07-14,90,Call,0,0.0,1086
20000285,9021663,2023-04-18,60,Call,1,746.65,1038
20000286,9007641,2021-11-04,90,FieldVisit,0,0.0,1052
20000287,9015771,2022-09-17,0,Call,1,655.76,1065
20000288,9026493,2023-02-13,30,SMS,0,0.0,1039
20000289,9017754,2024-10-06,0,Call,0,0.0,1026
20000290,9023400,2022-12-27,0,Call,0,0.0,1047
20000291,9015056,2021-01-13,60,Call,1,117.28,1012
20000292,9022703,2023-09-03,0,Email,1,591.69,1073
20000293,9014767,2023-03-24,30,SMS,1,887.56,1037
20000294,9014106,2021-02-04,30,Email,0,0.0,1004
20000295,9024843,2024-05-07,90,Call,1,372.56,1044
20000296,9000418,2025-04-22,0,Email,1,973.94,1003
20000297,9017554,2022-03-04,180,SMS,0,0.0,1045
20000298,9021136,2024-12-14,0,SMS,0,0.0,1029
20000299,9023294,2024-10-07,90,Email,1,801.21,1045
20000300,9004607,2025-09-15,180,Call,1,973.51,1026
20000301,9009608,2021-04-29,0,Call,0,0.0,1044
20000302,9027630,2020-07-31,0,SMS,0,0.0,1028
20000303,9026285,2023-12-21,0,Email,0,0.0,1099
20000304,9016267,2022-11-22,0,Call,0,0.0,1090
20000305,9013856,2021-05-21,30,Call,0,0.0,1098
20000306,9009934,2021-12-10,0,SMS,0,0.0,1097
20000307,9014492,2022-09-28,60,SMS,1,227.07,1050
20000308,9006028,2020-04-29,0,SMS,0,0.0,1083
20000309,9017122,2023-04-30,0,Email,0,0.0,1048
20000310,9000185,2025-05-06,0,SMS,0,0.0,1041
20000311,9023795,2024-06-03,30,Email,0,0.0,1089
20000312,9023542,2021-12-31,0,Call,1,744.11,1015
20000313,9015462,2021-07-07,0,Email,0,0.0,1018
20000314,9027490,2023-05-10,0,FieldVisit,0,0.0,1050
20000315,9019682,2024-05-30,0,SMS,0,0.0,1089
20000316,9029795,2020-01-14,0,SMS,1,278.29,1021
20000317,9021086,2021-12-15,30,SMS,0,0.0,1054
20000318,9014668,2023-01-19,0,FieldVisit,0,0.0,1071
20000319,9005182,2023-07-13,0,LegalNotice,1,143.97,1082
20000320,9007377,2022-02-01,30,SMS,0,0.0,1072
20000321,9020715,2021-09-09,0,SMS,1,679.49,1004
20000322,9018193,2023-01-01,180,Call,0,0.0,1037
20000323,9011145,2024-07-02,60,Call,0,0.0,1069
20000324,9023423,2022-03-01,0,SMS,0,0.0,1054
20000325,9008557,2021-10-11,30,SMS,0,0.0,1035
20000326,9004431,2021-02-01,0,Email,1,128.34,1053
20000327,9024150,2021-02-24,90,Call,0,0.0,1064
20000328,9005534,2020-03-10,90,Email,1,382.18,1055
20000329,9000242,2025-05-16,180,SMS,0,0.0,1009
20000330,9020916,2020-03-03,0,Email,0,0.0,1034
20000331,9007905,2021-09-23,0,Email,0,0.0,1009
20000332,9024107,2025-06-29,0,Email,0,0.0,1046
20000333,9013724,2021-05-22,0,Email,0,0.0,1075
20000334,9002608,2022-04-14,0,FieldVisit,1,286.87,1070
20000335,9024655,2023-02-11,0,Call,0,0.0,1061
20000336,9027613,2020-02-09,30,Email,0,0.0,1048
20000337,9020083,2024-12-30,0,Email,0,0.0,1078
20000338,9002648,2025-03-08,0,SMS,0,0.0,1015
20000339,9001444,2024-06-21,0,Call,0,0.0,1029
20000340,9006831,2024-10-28,30,SMS,1,376.69,1017
20000341,9021842,2022-04-25,0,SMS,0,0.0,1040
20000342,9025844,2022-05-15,30,Call,1,363.06,1038
20000343,9013433,2021-06-06,90,FieldVisit,0,0.0,1042
20000344,9022142,2020-10-15,0,SMS,0,0.0,1038
20000345,9004981,2023-07-17,0,Call,0,0.0,1065
20000346,9027743,2024-12-04,0,Call,0,0.0,1058
20000347,9025338,2023-03-11,0,SMS,1,545.31,1089
20000348,9002673,2024-02-24,0,Call,1,708.37,1070
20000349,9022116,2023-12-12,0,SMS,0,0.0,1074
20000350,9005818,2023-02-11,0,Email,1,506.59,1022
20000351,9008806,2020-04-12,0,SMS,0,0.0,1075
20000352,9016526,2020-01-03,90,Call,1,360.02,1027
20000353,9007351,2020-10-06,0,Call,1,124.94,1089
20000354,9016974,2023-03-25,90,Call,0,0.0,1001
20000355,9017979,2023-06-01,0,FieldVisit,0,0.0,1030
20000356,9010053,2023-10-22,0,Email,1,918.99,1097
20000357,9024850,2020-02-29,0,SMS,0,0.0,1051
20000358,9027060,2024-11-05,180,Call,1,244.95,1034
20000359,9017052,2023-06-18,0,LegalNotice,1,388.58,1005
20000360,9006845,2020-07-09,30,SMS,0,0.0,1049
20000361,9014050,2023-10-08,90,FieldVisit,1,830.44,1002
20000362,9001784,2022-05-12,30,Call,0,0.0,1072
20000363,9006880,2020-03-04,90,Email,1,151.08,1025
20000364,9017277,2023-10-25,0,Email,1,312.34,1074
20000365,9014445,2022-03-19,0,Email,0,0.0,1065
20000366,9023378,2024-10-12,0,SMS,0,0.0,1020
20000367,9013095,2023-07-20,30,Email,1,390.08,1025
20000368,9016675,2024-02-05,30,Call,0,0.0,1016
20000369,9014020,2022-10-08,30,Call,0,0.0,1057
20000370,9011667,2023-05-04,90,Call,0,0.0,1081
20000371,9009185,2025-08-03,30,SMS,1,555.69,1006
20000372,9024111,2021-07-12,0,SMS,1,669.79,1074
20000373,9002502,2022-12-04,0,FieldVisit,0,0.0,1029
20000374,9020833,2020-10-02,0,Email,1,623.7,1069
20000375,9016182,2021-10-12,30,Call,1,231.52,1065
20000376,9021177,2023-04-30,30,Call,1,929.79,1013
20000377,9007643,2020-08-31,0,Call,0,0.0,1005
20000378,9016678,2021-06-15,60,LegalNotice,0,0.0,1062
20000379,9021101,2025-01-17,0,Call,1,945.74,1017
20000380,9004437,2020-07-17,30,Call,0,0.0,1069
20000381,9002472,2021-07-09,90,Call,1,649.42,1002
20000382,9020273,2024-02-17,0,Call,0,0.0,1022
20000383,9009658,2024-12-06,60,Call,1,338.99,1002
20000384,9028599,2023-10-10,0,Call,1,950.28,1062
20000385,9004839,2022-05-09,60,LegalNotice,0,0.0,1006
20000386,9002484,2021-05-28,0,Email,1,360.05,1049
20000387,9012005,2022-09-16,0,Email,0,0.0,1064
20000388,9017854,2021-08-14,0,Email,0,0.0,1036
20000389,9026097,2022-03-18,0,Call,0,0.0,1057
20000390,9012829,2020-12-27,0,FieldVisit,0,0.0,1072
20000391,9014646,2021-12-15,30,SMS,0,0.0,1039
20000392,9009428,2023-03-10,60,Call,0,0.0,1084
20000393,9021308,2025-08-05,30,SMS,0,0.0,1005
20000394,9013991,2022-12-09,60,Call,0,0.0,1059
20000395,9025032,2024-04-13,30,SMS,0,0.0,1060
20000396,9002851,2020-12-31,30,SMS,0,0.0,1092
20000397,9008588,2023-02-24,30,SMS,0,0.0,1050
20000398,9005549,2023-11-22,0,Call,0,0.0,1062
20000399,9003446,2022-09-27,0,FieldVisit,1,810.73,1079
20000400,9007776,2020-08-13,30,Email,1,985.55,1032
20000401,9019033,2022-04-02,30,LegalNotice,0,0.0,1075
20000402,9007680,2020-11-30,0,Call,0,0.0,1026
20000403,9003771,2021-03-12,30,SMS,1,343.82,1001
20000404,9005633,2021-01-21,0,SMS,1,193.29,1022
20000405,9008483,2020-08-29,60,SMS,1,329.23,1069
20000406,9027820,2025-03-13,30,Call,0,0.0,1076
20000407,9005597,2021-04-15,60,Call,1,553.5,1016
20000408,9008783,2020-01-16,0,LegalNotice,0,0.0,1027
20000409,9022152,2022-08-28,0,FieldVisit,0,0.0,1011
20000410,9008974,2024-10-03,0,Email,1,418.38,1029
20000411,9021670,2024-04-28,0,Call,1,525.28,1070
20000412,9020534,2024-06-29,0,LegalNotice,0,0.0,1017
20000413,9009658,2020-06-09,30,Call,0,0.0,1012
20000414,9021070,2020-05-17,30,SMS,0,0.0,1024
20000415,9016643,2024-09-11,0,SMS,0,0.0,1000
20000416,9013199,2022-10-30,0,Call,1,528.49,1045
20000417,9023272,2022-07-01,0,SMS,0,0.0,1073
20000418,9014970,2022-11-11,0,SMS,0,0.0,1058
20000419,9029194,2020-11-18,0,Call,1,925.58,1087
20000420,9019951,2020-01-13,30,Call,1,750.39,1001
20000421,9000991,2021-11-28,0,Call,1,813.66,1029
20000422,9017429,2022-07-29,0,SMS,0,0.0,1017
20000423,9024768,2024-11-21,0,SMS,0,0.0,1024
20000424,9025653,2023-08-11,0,SMS,1,858.28,1065
20000425,9011097,2023-04-06,0,FieldVisit,0,0.0,1002
20000426,9004610,2024-02-26,0,Call,0,0.0,1031
20000427,9019935,2022-09-15,0,Call,0,0.0,1011
20000428,9012128,2023-10-05,0,Call,0,0.0,1058
20000429,9018400,2024-06-22,0,Call,0,0.0,1035
20000430,9016193,2021-05-20,30,Call,0,0.0,1010
20000431,9028373,2021-05-01,30,Email,1,821.22,1071
20000432,9016056,2021-09-04,0,FieldVisit,0,0.0,1023
20000433,9004619,2024-10-07,60,Email,0,0.0,1052
20000434,9018043,2021-11-04,60,Email,1,237.91,1034
20000435,9010084,2024-03-27,120,Call,1,308.11,1067
20000436,9000007,2021-06-18,30,Call,0,0.0,1095
20000437,9021379,2025-03-17,30,FieldVisit,0,0.0,1025
20000438,9014635,2023-04-19,120,Email,0,0.0,1041
20000439,9021184,2020-12-12,90,Call,0,0.0,1087
20000440,9019333,2025-01-18,60,Call,0,0.0,1016
20000441,9017341,2021-07-01,60,Call,1,387.03,1008
20000442,9029816,2020-08-28,30,Call,0,0.0,1000
20000443,9018727,2023-02-09,90,LegalNotice,1,768.65,1008
20000444,9025122,2021-07-28,90,Email,0,0.0,1085
20000445,9018302,2020-11-21,30,SMS,0,0.0,1048
20000446,9002865,2021-07-02,0,Call,0,0.0,1045
20000447,9019879,2022-03-01,0,LegalNotice,0,0.0,1087
20000448,9024330,2022-05-26,0,Call,0,0.0,1043
20000449,9002369,2024-12-12,120,SMS,0,0.0,1095
20000450,9015482,2021-10-13,0,SMS,0,0.0,1020
20000451,9017425,2021-08-06,30,Call,1,137.32,1022
20000452,9013256,2022-10-29,60,Email,0,0.0,1003
20000453,9006725,2021-06-03,0,Call,1,705.5,1083
20000454,9004129,2021-09-19,90,Email,1,632.11,1003
20000455,9009227,2021-12-13,0,Call,0,0.0,1080
20000456,9016660,2024-05-01,0,Email,1,147.55,1087
20000457,9006203,2022-11-10,30,Call,0,0.0,1033
20000458,9007641,2025-09-11,0,SMS,0,0.0,1028
20000459,9023167,2025-06-12,0,Call,0,0.0,1034
20000460,9015625,2020-03-14,0,SMS,0,0.0,1015
20000461,9019983,2021-12-18,0,Email,0,0.0,1032
20000462,9022222,2025-03-10,0,Call,0,0.0,1033
20000463,9022294,2020-08-18,0,SMS,0,0.0,1008
20000464,9016105,2023-07-19,0,LegalNotice,0,0.0,1002
20000465,9018836,2020-01-20,0,Email,1,530.66,1052
